Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,528384,4096,258741,273739,51.4083,2480901
L2,17519296,257984,272201,1538,0.561849,2208368
L3,98432,0,0,1538,100,153800
