Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,528384,262144,739284,51244,6.48225,1462948
L2,3279616,2509696,49706,1538,3.00133,428408
L3,98432,0,0,1538,100,153800
