Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,528384,262144,231478,559050,70.7186,6800774
L2,35779200,16775168,557512,1538,0.27511,4490856
L3,98432,0,0,1538,100,153800
