Level,NumReads,NumWrites,NumHits,NumMisses,MissRate,TotalCycles
L1,532480,8192,514453,26219,4.84934,785373
L2,1678016,489344,24681,1538,5.86597,228208
L3,98432,0,0,1538,100,153800
